sentiment,txt
negative,بيان الجيش واضح ولا مجال للحديث عن انقلاب عسكري إلا من كذابي الإخوانمرسي استهان بشعبه وقرر أن يكون رئيسا لعشيرته فقط فأسقطه الشعب
positive,المصرى احسن واحد تزنقه فى الوقت يشتغل! #اه_والله
positive,اليوم السابع | نائب رئيس #جامعة_المنصورة: الدواعى الأمنية سبب تقديم موعد #الامتحانات
negative,تخبط غير عادي في هذه الحكومة ومن الرئاسة زيادة وإلغاء ضرائب في نفس اليوم يثبت انه ليس لديهما ادنى خطة او رؤية او نضج
positive,ياخى الفجيكات دول يتحبوا من غير مقدمات كده :) #نوبة
negative,"وقفة تأمل لمجزرة ""الاتحادية"" ادانة واضحة ل"
positive,أشكرك يا خالد
negative,من الاخر اى حد فيه الرمق من المعارضة يمكن ينزل انتخابات شعب او شورى بيتقبض عليه لغاية ما تخلص خارطة الطريق وبعدها ربنا يسهل
negative,تجاوز الحل السياسى واللجوء للحل الأمنى هو فشل للسلطة، واستهتار بالدماء على السلطة منع إراقة دم أى مصرى سواء كان معتصماً أو رجل أمن
positive,"ننتظركم في ندوة التوقيع الأولى لـ""نادي السيارات"" لدكتورعلاء الأسواني بدار الأوبرا المصرية الجمعة القادمة بإذن الله >>"
negative,مهو لما الواحد يصتبح علي جدول #الامتحانات كدة مفروض بقيت اليوم هيبقي عامل ازاي -_-
positive,مفاجأة رد الشيخ حازم على فتوى برهامى الاخيره: فك الله أسرك يا إمام يا من علمتناكيف نحياكراما #سنحيا_كراما بإذن الله
positive,2011 الله ينور عليك يا دكتور هو ده التفكير اللى عايزينه مش كم مسجد وكم كنيسه
positive,"نهنئ الدكتور عبد المنعم أبو الفتوح بتأسيس حزب ""مصر القوية""، وندعو له بالتوفيق وبأن يكون هذا الحزب خطوة نحو بناء"
positive,مبروك ومبروك - ولكل الزملاء واشكر كل من ساهم بانجاح هذا الانجاز الراقي اليوم #نقابة_الصحفيين
positive,‏مبارك عليكم الشهر! ‏#رمضان_كريم‏
negative,كنت اعتقد ان طاهر ابو زيد لا يفهم فى السياسة والان تأكدت انه لا يفهم لا فى السياسة ولا فى غيرها عسكرى شطرنج
positive,منذ غرس بذرتها الشهيد #حسن_البنا ليسقيها بدمه صاحب الظلال ليتم الفتك ببطل أول صندوق إنتخابي ديموقراطي وشعبية #الاخوان_…
positive,نفسي حد يغنيلى اغنية #اهواك #عبدالحليم_حافظ فرحه برده :))) #حلم
positive,جيد أن تتنوع الآراء حول السياسة وقضاياها وضروري أن يتم التعبير عن هذا التنوع في الإعلام التقليدي وشب
positive,حكيك يخلق من العدم فرحه ♡' #م
negative,من أكبر أخطاء ناصر إعدام سيد قطب الفكر يتم مواجهته بالفكر، لا بالإعدام قتل صاحب الفكرة من أجل فكرته، يزيد هذه الفكرة ان
negative,"تحالف بين #أنصار_بيت_المقدس و #الحرس_الثوري لتنفيذ عمليات ""إرهابية"" في مصر #مصر #الإخوان #المد_الشيعي #عمليات_إرهابية"
positive,الناس لازم تحس إن 30 يونيو جت عليهم بفايدة على المستوى الإقتصادي والاجتماعي#يوسف_الحسيني #نقطة_لقاء، # #مص #…
positive,تذكرنا النبيل مصطفى نبيل كاتبنا الكبير وهو حي يرزق ونتمنى أن يتذكره باحثو الإعلام بعد موتهرحمه الله
negative,اى دين او ملة اى رجولة او شهامة اى مهنة او مهمة تسمح لرجال بالمدافع يهاجمون نساء فى منازلهن للقبض عليهن ثم اتهامهن بحمل سلاح مصر اتهانت
positive,"تحية لصحفيي الدستور وشبابه في اعتصامهم من أجل حق الشعب في صحافة حرة، ولتمسكهم بقائدهم الوطني إبراهيم عيسى و""بالدستور"" كصحيفة مستقلة"
positive,#كريستيانو_رونالدو صاروخ ماديرا او قاذفة اللهب او الدون او التورنادو او السيداو الامراطور و المهم انه افضل لاعب عالمي
positive,واضح إن أمي دعت عليا وأنا صغير وقالتلي روح ربنا يفرّج عليك خلقو، قام ربنا طلعني مذيع #
negative,واحد من مجاهدين بيت المقدس وهو بيجاهد قصدي بيراقب اكادمية الشرطة #حركة_كايدينهم
positive,الأعداد في مسيرة مدينة نصر جبااااااااارة تذكرني ب ٢٨ يناير
negative,الانقلاب اعادنا الى عام 1955 بعيدا عن الحريات الضائعة التخلف يزحف على كل القطاعات وبكره تشوفوا مصر
positive,ننعي الي الانسانية رمزا متألقا للنضال في سبيل الحرية والنهضة والكرامة الانسانية القائدوالمجاهدوالمفكر العربي احمد بن بيللا زعيم ثورة الجزائر
positive,رُب دعاء خالص صادق ترفعه إلي السماء يجلب لك الخير و يأتي بفرج و يُزيل الهم يا رب
positive,"ﻷنك انت كل حياتي مهما بالدنيا يصير ♡ #كلمة_حلوة"""
positive,في يوم الارض المجد كل المجد لمن يقاوم بامعائهه الخاوية #سامر_العيساوي #
positive,#برنامجي_المفضل #3 #أوسكار
positive,علي فكرة عبد الله السعيد صانع الاهداف الثلاثة الماتش الاخير
negative,أيامنا هذه هى أيام اختلال مفزع لمعايير الحكم على الأمور فى المجال العام فى مصر وفى بلاد العرب
negative,الى من يعتبر الاخوان سلميين شاهد الان ضحايا اعتداءات الاخوان الوحشية على الابرياء في بين السرايات مع الاستاذ وائل الابراشي اخوان مجرمون
positive,#حركة_كايدينهم #مصر #قول_كلمه_للسيسي_وخد_فولو_هديه ياسيسى يا اصيييييل #احنا_شباب_هنصوت_للسيسى #سأنتخب_السيسي
positive,روحي تحبك ♡ #عبدالمجيد
negative,"اعلام العار يبدأ حملة (نعم للدستور) قبل أن يظهر أو يعتمد أو يعرفه أحد, سياسة القطيع هش عليه"
negative,الإخوان يكتبوا بالانجليزي عشان يستقووا بالخارج مافيهاش مشكلة لكن لو انت عملت كده تبقى عميل
positive,الشيخ حازم ابو اسماعيل يرد على فتوى برهامي الأخيرة !! فك الله اسرك يا بطل منك نتعلم منهج الدين الحق …
positive,وصول الثوار لميدان التحرير احد اكبر علامات اسقاط الانقلاب والعلامات الكبرى والاخرى قادمة مع قادم الايام
